"x","y","z"
-0.6788432598114014,0.4103398621082306,1.0158747434616089
-0.6634048223495483,0.4069454073905945,1.0160512924194336
-0.6476650238037109,0.4026690721511841,1.0162010192871094
-0.6317135691642761,0.3980030417442322,1.016394853591919
-0.6236321926116943,0.395479291677475,1.01649010181427
-0.6071045994758606,0.3897688090801239,1.0164834260940552
-0.5906302332878113,0.3835093080997467,1.0166599750518799
-0.5737171769142151,0.3768605589866638,1.016694188117981
-0.5652201175689697,0.3733610212802887,1.0167243480682373
-0.5481644868850708,0.36581951379776,1.0168248414993286
-0.5307763814926147,0.3576977550983429,1.0168246030807495
-0.5133044123649597,0.34932199120521545,1.0169411897659302
-0.4954829812049866,0.34018340706825256,1.0169657468795776
-0.486521452665329,0.33549195528030396,1.0169975757598877
-0.4685373306274414,0.3256710171699524,1.0170855522155762
-0.45035895705223083,0.31552284955978394,1.0171687602996826
-0.43208712339401245,0.3048461675643921,1.0172375440597534
-0.4230308532714844,0.29952073097229004,1.0174061059951782
-0.40464165806770325,0.28837600350379944,1.0175939798355103
-0.38608965277671814,0.276693195104599,1.0177333354949951
-0.36730849742889404,0.26468709111213684,1.0178611278533936
-0.34857556223869324,0.2522830367088318,1.018161416053772
-0.3392191529273987,0.2458072006702423,1.018294095993042
-0.32023710012435913,0.23297572135925293,1.0184838771820068
-0.30108362436294556,0.2195241004228592,1.0186669826507568
-0.28191229701042175,0.2060067355632782,1.0188089609146118
-0.2724425494670868,0.19907596707344055,1.0190150737762451
-0.253001868724823,0.18495778739452362,1.0190757513046265
-0.23363295197486877,0.17070049047470093,1.0192177295684814
-0.2140560746192932,0.15598182380199432,1.0192397832870483
-0.19442127645015717,0.14113187789916992,1.019296407699585
-0.18457631766796112,0.13359250128269196,1.019289255142212
-0.16488273441791534,0.11852746456861496,1.0192686319351196
-0.14501018822193146,0.10306715965270996,1.0191739797592163
-0.12500989437103271,0.08768163621425629,1.0190061330795288
-0.11518024653196335,0.07972543686628342,1.0190041065216064
-0.0949913039803505,0.06414574384689331,1.0188181400299072
-0.07487457245588303,0.04820173978805542,1.0185648202896118
-0.05461340397596359,0.03228694200515747,1.0182759761810303
-0.034507378935813904,0.01653868891298771,1.0181316137313843
-0.024374686181545258,0.00864013284444809,1.0179935693740845
-0.004107830114662647,-0.007329841144382954,1.0177664756774902
0.016233835369348526,-0.023095792159438133,1.0175893306732178
0.0365208238363266,-0.038874685764312744,1.0174031257629395
0.046653155237436295,-0.046760424971580505,1.017320156097412
0.0669892430305481,-0.06251440942287445,1.0171823501586914
0.08721815049648285,-0.07805509120225906,1.0171053409576416
0.10747770220041275,-0.09338915348052979,1.0170024633407593
0.1277201771736145,-0.10862838476896286,1.0169216394424438
0.13781291246414185,-0.1163063794374466,1.016892910003662
0.15798120200634003,-0.13120406866073608,1.01691472530365
0.17812426388263702,-0.14603228867053986,1.0168750286102295
0.19819863140583038,-0.1606108695268631,1.016883373260498
0.20824523270130157,-0.1676470786333084,1.0168025493621826
0.2283099740743637,-0.18192708492279053,1.0166704654693604
0.24815486371517181,-0.1957966387271881,1.0166617631912231
0.2678849995136261,-0.20919544994831085,1.0166751146316528
0.28764861822128296,-0.22248615324497223,1.0165523290634155
0.2974247634410858,-0.22883488237857819,1.0164912939071655
0.3170170783996582,-0.24163632094860077,1.0163718461990356
0.3363535404205322,-0.25384169816970825,1.0163320302963257
0.35571861267089844,-0.2657204866409302,1.016086220741272
0.37484127283096313,-0.2770436406135559,1.0159480571746826
0.38428643345832825,-0.28270941972732544,1.015849232673645
0.4032098054885864,-0.2934284508228302,1.015600562095642
0.42190417647361755,-0.30373260378837585,1.0153268575668335
0.44042620062828064,-0.31361979246139526,1.0150995254516602
0.44949713349342346,-0.3181644082069397,1.0149532556533813
0.4677739441394806,-0.32740312814712524,1.0146697759628296
